date,open,high,low,close,volume
2022-02-23,4.72,4.75,4.71,4.74,408952
2022-02-24,4.72,4.73,4.56,4.59,871579
2022-02-25,4.62,4.65,4.59,4.62,403698
2022-02-28,4.62,4.63,4.57,4.58,371788
2022-03-01,4.6,4.63,4.58,4.62,377793
2022-03-02,4.6,4.68,4.6,4.66,484972
2022-03-03,4.66,4.7,4.65,4.66,432182
2022-03-04,4.65,4.66,4.6,4.61,383377
2022-03-07,4.61,4.62,4.53,4.54,482611
2022-03-08,4.54,4.58,4.45,4.45,555158
2022-03-09,4.46,4.49,4.22,4.34,888491
2022-03-10,4.41,4.43,4.33,4.33,510990
2022-03-11,4.28,4.43,4.22,4.42,855831
2022-03-14,4.37,4.45,4.35,4.37,618954
2022-03-15,4.35,4.4,4.23,4.24,777809
2022-03-16,4.28,4.46,4.22,4.44,1141567
2022-03-17,4.46,4.48,4.37,4.38,1146499
2022-03-18,4.36,4.42,4.35,4.39,643282
2022-03-21,4.37,4.39,4.32,4.34,648197
2022-03-22,4.32,4.4,4.31,4.36,579472
2022-03-23,4.35,4.37,4.33,4.35,376625
2022-03-24,4.33,4.34,4.28,4.3,485492
2022-03-25,4.28,4.34,4.27,4.28,455268
2022-03-28,4.26,4.32,4.23,4.31,413855
2022-03-29,4.32,4.34,4.3,4.32,345008
2022-03-30,4.34,4.44,4.33,4.41,815481
2022-03-31,4.4,4.44,4.38,4.38,617736
2022-04-01,4.37,4.45,4.36,4.44,719595
2022-04-06,4.43,4.5,4.41,4.48,801721
2022-04-07,4.47,4.51,4.37,4.38,714499
2022-04-08,4.38,4.44,4.33,4.44,593001
2022-04-11,4.43,4.45,4.34,4.36,579351
2022-04-12,4.36,4.49,4.33,4.47,793139
2022-04-13,4.46,4.49,4.41,4.42,608248
2022-04-14,4.45,4.49,4.43,4.45,640762
2022-04-15,4.42,4.46,4.38,4.39,560390
2022-04-18,4.36,4.36,4.31,4.33,520334
2022-04-19,4.33,4.38,4.32,4.34,386406
2022-04-20,4.34,4.35,4.29,4.3,428900
2022-04-21,4.29,4.35,4.26,4.28,665837
2022-04-22,4.26,4.32,4.25,4.31,478810
2022-04-25,4.25,4.33,4.15,4.15,998677
2022-04-26,4.16,4.18,3.96,3.97,900111
2022-04-27,3.93,4.05,3.9,4.03,647986
2022-04-28,4.0,4.02,3.91,3.96,573901
2022-04-29,4.04,4.13,4.01,4.09,792420
2022-05-05,4.06,4.07,4.0,4.03,691442
2022-05-06,3.98,3.98,3.92,3.93,468100
2022-05-09,3.93,3.97,3.92,3.96,292462
2022-05-10,3.92,4.01,3.91,3.99,465409
2022-05-11,3.99,4.08,3.97,3.98,650727
2022-05-12,3.97,4.02,3.95,3.98,413423
2022-05-13,3.98,4.02,3.97,4.0,387431
2022-05-16,4.02,4.04,3.98,3.99,394229
2022-05-17,3.99,4.01,3.96,3.99,304998
2022-05-18,4.0,4.03,3.98,4.01,355452
2022-05-19,3.98,4.0,3.96,4.0,304611
2022-05-20,4.0,4.05,3.99,4.04,531998
2022-05-23,4.04,4.07,4.01,4.05,447373
2022-05-24,4.06,4.09,3.97,3.97,568965
2022-05-25,3.97,4.0,3.97,4.0,324158
2022-05-26,4.0,4.09,3.98,4.06,584587
2022-05-27,4.07,4.08,4.02,4.04,416197
2022-05-30,4.04,4.05,4.01,4.02,334564
2022-05-31,4.02,4.07,4.01,4.05,492139
2022-06-01,4.05,4.06,4.02,4.03,308030
2022-06-02,4.03,4.06,4.01,4.05,410444
2022-06-06,4.05,4.12,4.03,4.11,708118
2022-06-07,4.11,4.16,4.07,4.08,824985
2022-06-08,4.08,4.15,4.07,4.14,1058058
2022-06-09,4.14,4.2,4.1,4.11,1396216
2022-06-10,4.08,4.23,4.06,4.18,2019759
2022-06-13,4.14,4.19,4.12,4.16,1225345
2022-06-14,4.12,4.38,4.09,4.36,1838074
2022-06-15,4.38,4.65,4.36,4.46,3319137
2022-06-16,4.48,4.49,4.31,4.32,1725474
2022-06-17,4.29,4.37,4.23,4.31,1067630
2022-06-20,4.29,4.34,4.26,4.27,667526
2022-06-21,4.27,4.31,4.25,4.28,667387
2022-06-22,4.28,4.29,4.18,4.19,881612
2022-06-23,4.19,4.32,4.17,4.29,914136
2022-06-24,4.3,4.3,4.25,4.26,638607
2022-06-27,4.26,4.29,4.23,4.24,646441
2022-06-28,4.23,4.33,4.21,4.31,672772
2022-06-29,4.29,4.34,4.25,4.26,784798
2022-06-30,4.26,4.32,4.25,4.29,547869
2022-07-01,4.29,4.3,4.23,4.24,508137
2022-07-04,4.23,4.26,4.2,4.24,527157
2022-07-05,4.23,4.25,4.17,4.2,530098
2022-07-06,4.2,4.2,4.16,4.17,439301
2022-07-07,4.17,4.2,4.16,4.16,311338
2022-07-08,4.18,4.2,4.16,4.17,322236
2022-07-11,4.16,4.18,4.13,4.14,351651
2022-07-12,4.15,4.22,4.14,4.17,446540
2022-07-13,4.16,4.2,4.16,4.17,337263
2022-07-14,4.17,4.18,4.14,4.17,265320
2022-07-15,4.16,4.17,4.03,4.04,569406
2022-07-18,4.04,4.13,4.04,4.1,395402
2022-07-19,4.11,4.15,4.08,4.13,386059
2022-07-20,4.14,4.16,4.13,4.15,256587
2022-07-21,4.14,4.19,4.13,4.14,372741
2022-07-22,4.15,4.2,4.13,4.15,343940
2022-07-25,4.16,4.17,4.12,4.12,199034
2022-07-26,4.13,4.17,4.12,4.15,218888
2022-07-27,4.15,4.16,4.11,4.13,262645
2022-07-28,4.14,4.19,4.14,4.16,383804
2022-07-29,4.17,4.18,4.12,4.13,366103
2022-08-01,4.12,4.14,4.08,4.1,314758
2022-08-02,4.08,4.08,3.96,4.02,740234
2022-08-03,4.01,4.06,4.01,4.02,356525
2022-08-04,4.03,4.06,4.01,4.04,286186
2022-08-05,3.98,4.03,3.96,4.02,487571
2022-08-08,4.03,4.08,4.01,4.07,350016
